StudyID,Are you worried about coronavirus? Why or why not?,Race
2154,"Yeah I'm worried
I'm worried that my grandparents might get exposed to it",White or Caucasian
2166,"I think people should be a little worried, but not as much as they are. It's not entirely comparable to the flu, but it does spread similarly. ",White or Caucasian
2170,I'm slightly concerned but people are making it out to be the plague.,"American Indian or Alaska Native, White or Caucasian"
2171,Heck yeah. I don't wanna die,White or Caucasian
2172,a little bit- big projections and im worried anout the older folks in my life. but im not paniked,White or Caucasian
2175,Yes. I do not want to die. ,White or Caucasian
2176,"I would say that I'm somewhat worried about it, I know that it hasn't been affecting people my age so I'm not worried about actually getting sick but I'm a little worried about the people in my life who are more prone to get it. I do think that it will spread because it seems to be pretty inevitable and I'm worried about the panic it will cause. ",White or Caucasian
2178,"Only a little. i'm not worried about myself, but my dad. he is 67, and has quite a few health issues. I know if he gets sick it might not end well.","American Indian or Alaska Native, White or Caucasian"
2179,"It has made me worried overall. I was trying not to be too concerned because I am a huuuuge worrier in general, and I remember being worked up about Ebola. In general, the things I realt worry about don't end up being issues. But I am also concerned that I will try to be so nonchalant about it that I will underprepare myself. Especially since it just spread to my state, it has become more real. ",White or Caucasian
2188,Because I don't want to die,White or Caucasian
2191,I am a little bit because the coronavirus help line has been useless for some people and people who show symptoms have been unable to get tested ,White or Caucasian
2192,"Not that much, I doubt I'll be getting it. You can prevent it by being concious of your hygiene",White or Caucasian
2197,im afraid it could become a big outbreak and there not be a cure,White or Caucasian
2203,"A bit. As someone who frequently makes use of public transport, I know I am often in close proximity with strangers. As a community college student, I know that I share a campus with 30,000 other students. As someone who works in food service, I think about how if I were to contract the virus, I would have to take time off work and how that would affect my budget. ",White or Caucasian
2209,"Yes, because it is so easily spread.",White or Caucasian
2213,I am concerned about it but not worried it has only been deadly to those who have had underlying health issues which I do have but its not near me as of rn,White or Caucasian
2217,I wouldn't be worried if there was a vaccine or treatment but without that it's kinda scary ,White or Caucasian
2218,"Yes, because of disruptions to my daily life that would occur if I got sick or the city were quarantined, and because of future implications for flu season",White or Caucasian
2227,I'm worried about the future because it spreads very quickly and is not very easy to detect,White or Caucasian
2235,I am cause it has disrupted the economy and can continue doing it,White or Caucasian
2236,Yea. It's just classic fear mongering has gotten to me. I'm more likely to trip and die then die of corona after all. : ),White or Caucasian
