StudyID,Are you worried about coronavirus? Why or why not?,Race
1984,"No, because I've heard that it's not very dangerous",White or Caucasian
2002,"I'm not particularly worried because even if I get it, it probably wont kill me. I'm also unlikely to get it because I wash my hands regurly and have good hygiene and cleaning practices.",White or Caucasian
2003,No,White or Caucasian
2019,No I'm not,White or Caucasian
2027,"No, it really only affects elderly and young people, which I am neither of ",White or Caucasian
2029,I am not because it has a small fatality rate and I have a fairly good immune system ,White or Caucasian
2034,"No, we successfully dealt with SARS.",White or Caucasian
2042,Im not worried i know im safe and dont have anything to worry about,White or Caucasian
2047,no cuz i'm not a child or a senior so i'm less likely to be affected ,White or Caucasian
2054,It's frustrating and sad to see Asian people being attacked for it though,White or Caucasian
2057,"Not personally because it is only seriously harmful for youth, elderly and immunocompromised people, but I am somewhat worried about its effects on those populations",White or Caucasian
2059,No. It has a lower mortality rate than the flu. We need to be conscious of it but not lose our minds over it ,White or Caucasian
2061,"Not for myself, but I'm afraid if I catch it that I would transfer it to a more susceptible person ",White or Caucasian
2075,"No, see my last text. I'm a teenager and have very low chance of getting it and lower of dying from it. Imm more interested and concerned for others. But again privileged white people will probably be fine lol",White or Caucasian
2077,"Not really, it's scary to think about a potential pandemic but I'm not super worried about it ",White or Caucasian
2086,"No. There is very little to worry about it. It's not very widespread, not numerous (affecting so far less than 0.001% of the popular), 3-4 times less lethal than the flue, and so on. It's just been overly 'hyped' so to speak",White or Caucasian
2091,"Not really, odds of getting it are not high",White or Caucasian
2092,I was but then I realized there is no reason to be worried because eventually I will get it and then become immune to it. The death rate is small and basically the same as the flu death rate. The only people who have died are people with weak immune systems and respiratory systems aka the elderly.,White or Caucasian
2100,"No because I'm a healthy, 18 year old person so I'll get a bad cold at best",White or Caucasian
2101,No. Because I know that the flu is worse and that it is being controlled in a speedy but calm manner,White or Caucasian
2103,"No, it's overhyped and it doesn't affect youth that much. However, the panic it's causing is a lot to handle",White or Caucasian
2104,"No. There's always diseases going around, this ones no different",White or Caucasian
2106,Not really because if I follow the steps to prevent getting it I won't have any problems and if I do get it i die I die guess that's just my life. If I live that's dope too. ,White or Caucasian
2107,"No, I'm too young for it to be deadly",White or Caucasian
2108,Not really. I'm healthy and cautious around sick people plus I don't hang around people or travel out of the country no much ,White or Caucasian
2110,Not really. I seen that the flu kills more people and more likely to get.,White or Caucasian
2112,I am not worried about it yet because it hasn't reached my area and the death rate doesn't affect my demographic ,White or Caucasian
2114,i am not because i am not immunodeficient ,White or Caucasian
2118,I am a little. It has the capability to infect a lot of people and it is very dangerous for older people and children. I am not so worried that I have done anything different day to day,White or Caucasian
2121,"Nope, it's not as fatal as many other outbreaks and will probably fizzle out quickly",White or Caucasian
2122,No. It's not that deadly.,White or Caucasian
2125,nope because im white,White or Caucasian
2128,I am not worried,White or Caucasian
2129,I'm not worried about the virus because I'm young and have bigger concerns to worry about,White or Caucasian
2130,"No, it's not that severe",White or Caucasian
2132,"No, it's not near me",White or Caucasian
2134,"Not necessarily, I don't have any respiratory risk factors and it's not here (yet). Seems that people are more concerned because it's new than that it's worse than other diseases.",White or Caucasian
2137,"i'm really not worried about it. it's a nasty flu, and i'm healthy and insured so i'll be fine.",White or Caucasian
2138,I am not concerned because from the statistics the only people who have an underlying health condition will die ,White or Caucasian
2139,"I'm not worried because my immune system is good, there are only a few cases near me and American doctors are some of the best in the world",White or Caucasian
2141,"Not really? I'm probably not going to get because I'm pretty clean, but even I do, it probably won't kill me",White or Caucasian
2142,i'm not worried just because there have been so many outbreaks like this such as zika and ebola and the situation has been very manageable ,White or Caucasian
2145,I am not worried about coronavirus because it doesn't affect most people different than the flu ,White or Caucasian
2147,eh? It's both a large issue and not really. I basically just live my normal life and wash my hands more,White or Caucasian
2148,"I'm not personally worried about coronavirus because death rates for my age group are so low, but I am worried for the virus's effects on the rest of the country, including the economy and daily life.  ",White or Caucasian
2149,No. I think it's just over hyped,White or Caucasian
2155,No because I know how to minimize my risk of infection. ,White or Caucasian
2156,"No, I don't live in a super populated area ",White or Caucasian
2158,not really because i don't think it will spread that much ,White or Caucasian
2160,No because it isn't considered deadly to the general population . ,White or Caucasian
2162,"Not really. If it reaches my remote area, everyone's screwed.",White or Caucasian
2167,It has not,White or Caucasian
2168,No,White or Caucasian
2169,Not really! I have an okay immune system and I like chaos,White or Caucasian
2177,"No
Because I am young and not immunocompromised ",White or Caucasian
2185,and I'm not worried about it because it's not as deadly ,White or Caucasian
2186,Not really because the death rate is less than the flu ,White or Caucasian
2187,"No
These things happen
It's always okay though",White or Caucasian
2194,"i have a strong immune system, so i'm not too worried about it",White or Caucasian
2196,I am not because I feel like it is similar to other scares we have had in the past and people are making it seem worse than it actually is,White or Caucasian
2200,"Not really. The area where I live is pretty far from any cases. We had a scare once, but it was just a really bad flu. Also, humans are quickly destroying the planet, so yeah ",White or Caucasian
2202,"No, because the virus itself will not harm me. A lot of the hype and misinformation is what worries me",White or Caucasian
2207,No,White or Caucasian
2210,I'm all cured.,White or Caucasian
2221,It has not impacted me and I'm not currently worried about it since there are no confirmed cases in my state,White or Caucasian
2224,I dont really fear it at the moment cause i know its not as deadly as things like the flu and that im healthy enough that if i did get it id be able to survive.,White or Caucasian
2231,"Not at all, it's a cold. I am not 90 and I have no degenerative diseases so I will be fine. As per the people who have died: yes it is very sad when anyone dies however millions of people die every day and this ""death virus"" isn't killing any more people than the flu or a common cold that seniors get. ",White or Caucasian
2233,I'm not worried about it at all.,White or Caucasian
2234,"Not really, I don't think I would die from it",White or Caucasian
2238,"not really. i have good sanitary practices and i am a healthy teenager, if i do get it I'll be fine",White or Caucasian
2239,Not really the mortality rate is super low at 3.4%,White or Caucasian
98,"Not really, I feel like everyone is blowing it out of proportion","White or Caucasian, Other (please describe)"
732,not really bc it's not that fatal,"White or Caucasian, Other (please describe)"
1171,"No, i am young","White or Caucasian, Other (please describe)"
1415,No I am not because if it like the flu then it won't effect me much,"White or Caucasian, Other (please describe)"
1480,"I am not because it is no worse than the flu, which more people have died from and more people catch ","White or Caucasian, Other (please describe)"
1546,"Nah, not worried Since I'm young and healthy, but I Worry for my parents and the economy","White or Caucasian, Other (please describe)"
1554,No. I know most of these measures are happening to prevent coronavirus from becoming a huge deal.,"White or Caucasian, Other (please describe)"
2157,"No, it has been sensationalized by the media and is really no more dangerous than any other contagious illness","White or Caucasian, Other (please describe)"
1700,"Not really
More so for my family because my age is much less likely to get it",
